"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-08-01 ~ 2026-07-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","부산광역시 부산진구 개금동","455","0455","0000","엘지신개금(2-1)","118.4700","202607","31","39,000","-","10","개인","개인","1998","백양대로300번길 20","-","중개거래","부산 부산진구","-"
"2","부산광역시 서구 서대신동2가","270","0270","0000","보람","84.9750","202607","31","33,000","-","15","개인","개인","2005","대영로 24","-","직거래","-","-"
"3","부산광역시 중구 중앙동4가","40-15","0040","0015","동광맨션","68.9200","202607","31","8,200","-","5","개인","법인","1976","동광길 66","-","중개거래","부산 동구","-"
"4","부산광역시 부산진구 가야동","588","0588","0000","반도보라빌","71.6577","202607","31","35,000","-","15","개인","개인","2005","가야공원로 41","-","중개거래","부산 부산진구","-"
"5","부산광역시 부산진구 개금동","455","0455","0000","엘지신개금(2-1)","134.9200","202607","31","43,800","-","20","개인","개인","1998","백양대로300번길 20","-","중개거래","부산 부산진구","-"
"6","부산광역시 부산진구 개금동","455","0455","0000","엘지신개금(2-1)","84.9900","202607","31","34,400","-","13","개인","개인","1998","백양대로300번길 20","-","중개거래","부산 부산진구","-"
"7","부산광역시 부산진구 부전동","450","0450","0000","네오스포","71.0280","202607","31","20,900","(아파트)","16","개인","개인","1999","신천대로 122","-","중개거래","부산 부산진구","26.08.11"
"8","부산광역시 영도구 동삼동","1180","1180","0000","부산오션시티푸르지오","84.9133","202607","31","39,000","102동","47","개인","개인","2022","동삼오션로 30","-","중개거래","부산 영도구","26.07.31"
"9","부산광역시 부산진구 양정동","541","0541","0000","양정자이더샵SKVIEW아파트(2단지)","84.9268","202607","31","84,000","-","5","개인","개인","2025","진남로 554","-","중개거래","부산 부산진구","-"
"10","부산광역시 동래구 안락동","15-3","0015","0003","에스케이쁘띠메종","84.7700","202607","31","34,000","-","10","개인","개인","2000","삼어로 12","-","중개거래","부산 동래구, 부산 해운대구","-"
"11","부산광역시 부산진구 부암동","746","0746","0000","서면동일파크스위트3차","39.8636","202607","31","22,100","-","10","개인","개인","2017","동평로 162","-","중개거래","부산 부산진구","-"
"12","부산광역시 부산진구 부암동","304-14","0304","0014","시민공원일동미라주시티","49.8344","202607","31","21,300","-","4","개인","개인","2022","동평로 192","-","중개거래","부산 부산진구","-"
"13","부산광역시 부산진구 범천동","1652","1652","0000","e편한세상서면더센트럴","84.9976","202607","31","59,000","-","26","개인","개인","2022","신암로 133","-","중개거래","부산 부산진구","-"
"14","부산광역시 부산진구 부암동","736","0736","0000","서면동일파크스위트1차","79.4274","202607","31","39,000","102","22","개인","개인","2014","동평로150번길 14","-","중개거래","부산 부산진구","26.08.04"
"15","부산광역시 동래구 명륜동","782","0782","0000","명륜2차아이파크1단지","108.2742","202607","31","84,200","-","10","개인","개인","2015","시실로 49","-","중개거래","부산 동래구","-"
"16","부산광역시 동래구 낙민동","83-1","0083","0001","동래우성","134.8860","202607","31","45,000","-","23","개인","개인","1997","안남로 9","-","중개거래","부산 동래구","-"
"17","부산광역시 동래구 낙민동","327","0327","0000","온천천경동리인타워","84.9387","202607","31","57,500","-","6","개인","개인","2019","수안로8번길 62","-","중개거래","부산 동래구, 부산 수영구","-"
"18","부산광역시 남구 용호동","980","0980","0000","데시앙해링턴플레이스파크시티","59.9725","202607","31","37,000","-","13","개인","개인","2023","용주로 36","-","중개거래","부산 남구","-"
"19","부산광역시 해운대구 반여동","585","0585","0000","우신","59.8000","202607","31","15,700","-","6","개인","개인","2001","삼어로 181","-","중개거래","부산 해운대구","-"
"20","부산광역시 동래구 사직동","981-100","0981","0100","삼정그린코아","144.3700","202607","31","40,000","-","12","개인","개인","1998","쇠미로 37","-","중개거래","부산 동래구","-"
"21","부산광역시 남구 대연동","1872","1872","0000","대연롯데캐슬레전드1단지","84.9500","202607","31","81,500","-","24","개인","개인","2018","수영로 135","-","중개거래","부산 남구","-"
"22","부산광역시 해운대구 반여동","1063-2","1063","0002","벽산한솔타운","59.7940","202607","31","13,700","-","14","개인","개인","1995","삼어로 103","-","중개거래","부산 해운대구","-"
"23","부산광역시 북구 만덕동","927-1","0927","0001","대성타워","84.7800","202607","31","22,200","-","16","개인","개인","1991","덕천로259번길 30","-","중개거래","부산 북구","-"
